key	invasion_spectral	k14_mean	k14_sum	size_frac	tag_color	tag_photometric
CTN001	0.824686607201	0.43466268733	0.02978070816	0.0631421802261	rgb	2
CTN002	0.801684042145	0.485101318699	0.0358632551634	0.0755095450438	rgb	2
CTN004	1.66278700462	0.708207884668	0.177574922676	0.203239798746	rgb	2
CTN005	0.87697067877	0.265661017587	0.0410396889304	0.144820696235	rgb	2
CTN007	1.15930510792	0.287363019993	0.0296146524726	0.0728761984592	rgb	2
CTN009	0.391602273919	0.589731701233	0.0309949294504	0.0570746706464	rgb	2
CTN010	1.32112810484	0.395115287231	0.0299729501089	0.0767189409093	rgb	2
CTN011	0.667144498423	0.515518289888	0.0564741736748	0.091028051222	rgb	2
CTN014	1.22923091347	0.415022075011	0.0187728638895	0.0496990491497	rgb	2
CTN015	0.543875480988	0.693073259727	0.0127240077315	0.0191343613759	rgb	2
CTN018	1.67217517823	0.4897274747	0.111590960658	0.255892263356	rgb	2
CTN019	0.683278431604	0.0507879439059	0.000945550263324	0.018249893979	gray	1
CTN021	0.404466573071	0.0495552183952	0.0007034790954	0.0131570050986	gray	1
CTN024	0.842735820961	0.151281733022	0.0196541143232	0.115870796733	gray	1
CTN036	1.07393521139	0.0482413464216	0.0099253520693	0.101511582798	gray	1
CTN037	0.666624787042	0.0385275719877	0.00246444647651	0.0414146207419	gray	1
CTN038	0.678616375378	0.0164525631475	0.00284968533708	0.21821034693	gray	1
CTN039	0.26564520986	0.103761308635	0.0066197144453	0.0637975227222	gray	1
CTN041	0.441146228276	0.0174033653011	0.000195228452997	0.0112540872312	gray	1
CTN042	0.320813639192	0.0525735084936	0.00270238806495	0.0354588512633	gray	1
CTN044	0.25198386251	0.062182027574	0.00139512936034	0.0296492121822	gray	1
CTN045	0.263476578739	0.0796856695529	0.00646336460764	0.0635675293727	gray	1
CTN046	0.283508182661	0.0733863455409	0.00133179515433	0.0181063303591	gray	1
CTN047	0.633024025099	0.117826883491	0.0076575937333	0.0744199941809	gray	1
CTN048	0.733506495043	0.0208594474206	0.00194838493427	0.0596017815038	gray	1
CTN049	0.70953554451	0.0336740702107	0.00724294298189	0.103486492344	gray	1
CTN050	0.533140848088	0.0180136231276	0.00119836604929	0.0723228635557	gray	1
CTN052	1.17945485023	0.01112962835	0.00104675870861	0.0725219201018	gray	1
CTN053	0.156863802879	0.538898107215	0.0504380251325	0.0872106408971	gray	1
CTN054	1.13147579967	0.0987368499071	0.00836631854644	0.0738083912165	gray	1
CTN055	0.53828859638	0.177197475872	0.0107389728295	0.0356356337287	gray	1
CTN057	0.667289307487	0.081179726562	0.00775838120107	0.0971760003323	gray	1
CTN058	1.56714289538	0.153506409416	0.0152096047353	0.0926854453819	gray	1
CTN060	1.28377705419	0.0373629739311	0.00149925107423	0.0369740864923	gray	1
CTN069	0.474651435523	0.150421929196	0.00787383835157	0.031865855686	gray	1
CTN070	1.33925337581	0.210915466353	0.0320219784877	0.115530686892	gray	1
CTN071	1.99819426404	0.190197221307	0.018415978728	0.0897498574912	gray	1
CTN073	1.17861280904	0.239162914271	0.00212276943217	0.00906303110913	gray	1
CTN075	0.978787691798	0.0141460422893	0.000653855592699	0.0212983733561	gray	1
CTN082	0.326885431039	0.0146953686449	0.00021585783227	0.0143559666648	gray	1
CTN083	1.59607268844	0.0389152055026	0.00101375474195	0.023986851585	gray	1
CTN084	0.176644205711	0.0158698919362	0.000242985374893	0.0148232561147	gray	1
CTN085	1.56675526444	0.0565536552008	0.00391504845774	0.0553727326665	gray	1
CTN086	0.235315106699	0.0573941955547	0.00207685203598	0.0292540110286	gray	1
CTN087	1.31291576325	0.0617300905094	0.00252660650185	0.0389489435182	gray	1
CTN088	1.32707048386	0.0711223473266	0.00412516680359	0.0476318038811	gray	1
CTN089	2.08380545582	0.0680586156579	0.0077020181604	0.0894672744402	gray	1
CTN091	0.948111206849	0.0749560014713	0.00831287980487	0.080570155993	gray	1
CTN097	0.336861738182	0.153942386287	0.0107809720264	0.048683921446	gray	1
CTN102	1.12926575203	0.10766102571	0.00954279875278	0.0696825058947	gray	1
CTN105	2.32074847436	0.107882949461	0.00536267865604	0.0364231679703	gray	1
CTN106	0.972058931539	0.0975712914129	0.0054874516976	0.0358459414025	gray	1
