key	invasion_spectral	k14_mean	k14_sum	size_frac	tag_color	tag_photometric
CTN001	0.598557861141	0.434998634288	0.0297856614659	0.0630934798271	rgb	2
CTN002	0.572224509471	0.485388045607	0.035863204905	0.0754716036014	rgb	2
CTN004	1.14957997332	0.709077148895	0.177367799037	0.202724095069	rgb	2
CTN005	0.583102357716	0.265737793838	0.04105016092	0.144801794027	rgb	2
CTN007	0.812071097982	0.28752445665	0.0296165188255	0.0728286584182	rgb	2
CTN009	0.309367138472	0.590103314724	0.0309953721384	0.0570301036619	rgb	2
CTN010	0.940042076762	0.395406911128	0.0300106891519	0.0767924047419	rgb	2
CTN011	0.484318758744	0.515767073143	0.0565089984513	0.09104001561	rgb	2
CTN014	0.87738741447	0.415440745846	0.018780609118	0.049685491022	rgb	2
CTN015	0.44230267809	0.693617650752	0.0127216275883	0.0191088739101	rgb	2
CTN018	1.24648368169	0.490106219546	0.111617755182	0.255781561738	rgb	2
CTN019	0.545996464787	0.0507999357232	0.000944692622165	0.0182268825962	gray	1
CTN021	0.31640380208	0.0495713125508	0.000702648880804	0.0131358300081	gray	1
CTN024	0.676658052189	0.151369807043	0.0196508706183	0.115816329181	gray	1
CTN036	0.837861343299	0.0482678590131	0.00993299518837	0.101498993839	gray	1
CTN037	0.520817563851	0.0385374163972	0.00246385197838	0.0413608170767	gray	1
CTN038	0.49151140499	0.0164550149751	0.00284931949208	0.218165318111	gray	1
CTN039	0.225109906295	0.103806436411	0.00661835067656	0.0637566504101	gray	1
CTN041	0.344024645752	0.0174078870252	0.000195124200755	0.0112443887165	gray	1
CTN042	0.232881945831	0.0525920897099	0.00270069352497	0.0354210371936	gray	1
CTN044	0.189465686291	0.0622247130439	0.00139472687511	0.029622567911	gray	1
CTN045	0.211843493704	0.079685851459	0.00646460974844	0.0635834626469	gray	1
CTN046	0.21979662596	0.0734439684235	0.00133133603696	0.0180906049102	gray	1
CTN047	0.532625143798	0.117869106036	0.00765912355854	0.0744193014298	gray	1
CTN048	0.585962447041	0.0208668337281	0.00194762994676	0.0595445350759	gray	1
CTN049	0.530823738593	0.0336746035143	0.00724831384006	0.103506681089	gray	1
CTN050	0.409402051753	0.0180180334526	0.00119812879338	0.0722876487105	gray	1
CTN052	0.856780181487	0.0111256430538	0.00104737396306	0.0725945860412	gray	1
CTN053	0.127051240451	0.539108149055	0.0504295143934	0.0871659433944	gray	1
CTN054	0.920325251391	0.0987802756303	0.0083596518363	0.0737037088352	gray	1
CTN055	0.423458528444	0.177427180085	0.0107388750293	0.0355850629018	gray	1
CTN057	0.539704427835	0.0811685325956	0.00775449636183	0.0971292396363	gray	1
CTN058	1.17589311021	0.153706983693	0.0152136076698	0.0925679222033	gray	1
CTN060	0.977548624618	0.0373841399888	0.0014993281975	0.0369503790118	gray	1
CTN069	0.344115815426	0.150551385346	0.00786899860255	0.0318078955147	gray	1
CTN070	0.802276092915	0.211062710268	0.03208146504	0.115667257814	gray	1
CTN071	1.47457910743	0.19046781382	0.018420465892	0.0896060621654	gray	1
CTN073	0.987726293346	0.239127748487	0.0021240154785	0.00907573154511	gray	1
CTN075	0.761839692487	0.0141625696483	0.000654676090456	0.0213015793435	gray	1
CTN082	0.252855108132	0.0146972713362	0.00021562487775	0.0143378685436	gray	1
CTN083	1.211151715	0.0389631145587	0.00101455819734	0.0239762005376	gray	1
CTN084	0.124672150922	0.0158734290538	0.000242716726337	0.0148033972512	gray	1
CTN085	1.19284271247	0.0566083667728	0.00392157533923	0.0554667430595	gray	1
CTN086	0.178475445129	0.057413649792	0.00207656712513	0.0292393766626	gray	1
CTN087	1.08143289291	0.0617990637862	0.00252620386264	0.0389051178989	gray	1
CTN088	1.05635893953	0.0712341989781	0.00412528006786	0.0475460626162	gray	1
CTN089	1.33622896434	0.0681465833959	0.00774551396152	0.089768101585	gray	1
CTN091	0.630189699341	0.0750409162372	0.00832886326601	0.0806601042481	gray	1
CTN097	0.268527266211	0.153988899229	0.0107832553882	0.0486715014092	gray	1
CTN102	0.86863718157	0.107743554002	0.00954722667922	0.0696424522884	gray	1
CTN105	1.78113746671	0.108036717059	0.00538130395697	0.0364452865218	gray	1
CTN106	0.675552393738	0.0976799304623	0.0054996126933	0.0358697027636	gray	1
